Alarm set: 0x7fffd08215f0
0;84.1
Academic license - for non-commercial use only
0.046875;83.1
0.078125;82.1
0.109375;81.1
0.125;79.1
0.140625;78.0987
0.171875;77.0987
0.203125;76.0987
0.234375;75.0987
0.25;74.0986
0.265625;72.0986
0.296875;71.0986
0.328125;70.1
0.359375;69.0986
0.375;68.0985
0.421875;67.097
0.4375;66.097
0.453125;65.0969
0.484375;64.0953
0.515625;63.0968
0.515625;62.0952
1.375;61.0984
1.40625;60.0967
1.4375;59.0966
1.45312;59.0932
1.48438;58.0948
37.3281;57.0965
37.7031;57.0947
106.781;56.0929
106.844;56.0911
210.641;56.0875
268.516;56.0857
56.0857
