Alarm set: 0x7fffde48dec0
0.015625;275.099
Academic license - for non-commercial use only
0.1875;274.099
0.328125;271.098
0.40625;270.098
0.46875;269.098
0.515625;268.098
0.609375;267.099
0.671875;266.098
0.75;265.098
0.84375;264.099
0.9375;261.099
1.07812;260.098
1.17188;259.098
1.26562;257.098
1.51562;256.097
1.64062;255.097
1.70312;253.098
1.79688;252.099
1.9375;251.099
2.03125;250.098
2.15625;249.098
2.45312;248.098
2.65625;247.097
2.96875;246.096
3.0625;245.097
3.17188;244.098
3.32812;243.098
3.59375;242.098
3.84375;241.097
3.89062;240.097
4.0625;239.097
4.29688;238.097
4.45312;237.097
4.54688;236.096
4.84375;235.097
5.04688;234.096
5.28125;233.097
5.53125;232.096
5.82812;231.095
6.125;230.094
6.28125;229.092
6.4375;228.093
6.64062;227.093
6.875;226.094
7.25;225.096
11.7344;224.095
12.1406;223.096
13.5781;222.095
14.1094;221.093
14.8125;220.091
18.2344;219.091
27;218.089
51.0781;217.088
57.5625;216.087
145.719;216.086
153.516;215.085
242.219;215.085
331.016;215.084
215.084
